Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Access Type,Source,EID
"Prieto A., Bellas F., Trueba P., Duro R.J.","Real-time optimization of dynamic problems through distributed Embodied Evolution",2016,"Integrated Computer-Aided Engineering","23","3",,"237","253",,,10.3233/ICA-160522,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977576550&doi=10.3233%2fICA-160522&partnerID=40&md5=219f719eb0faa49b8bec37ecc248d76d","Several engineering optimization problems like routing, freight transportation, exploration, or layout design in their more complex and realistic versions present a series of characteristics that make them very difficult to solve. Among these we find the absence of centralized updated information about all the variables, due to the spread out nature of the problems or lack of appropriate communications, or the dynamism of real-time operation. In fact, most optimization approaches assume that the problems they address are static, meaning that there is an optimal solution that does not change in time, but this is not always the case and there are problems that require following an optimum that changes in time. Distributed population-based techniques, such as swarms, have provided promising results in this context. They obtain a solution through the concurrent behavior of several adequately constructed processing elements. However, constructing these swarms is not straightforward, and most approaches have just mimicked swarm behaviors found in nature, adapting them to particular problems. The objective of this work is to study the application of a novel evolutionary paradigm, distributed Embodied Evolution (dEE), to obtain heterogeneous swarms that solve a set of realistic problems. In particular, we address here non-separable dynamic fitness landscapes, where interdependences between individuals imply that the contribution provided by one of them to the whole depends on the behavior of the others. This study is carried out applying a canonical version of dEE, which has been developed to generalize the main features of this type of evolutionary paradigm. We analyze the canonical dEE response in a series of scenarios of increasing complexity related to two highly representative dynamic engineering problems: a Dynamic Fleet Size and Mix Vehicle Routing Problem with Time Windows (DFSMVRPTW) and a collective surveillance task with realistic location degradation. © 2016 - IOS Press and the author(s).",Conference Paper,,Scopus,2-s2.0-84977576550
"Mohtashami A.","A novel dynamic genetic algorithm-based method for vehicle scheduling in cross docking systems with frequent unloading operation",2015,"Computers and Industrial Engineering","90",,,"221","240",,8,10.1016/j.cie.2015.09.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943606270&doi=10.1016%2fj.cie.2015.09.008&partnerID=40&md5=ce0a6c14b93c9dcfc3901cc2bf7d4170","An important factor for efficiently managing the supply chain is to efficiently control the physical flow of the supply chain. For this purpose, many companies try to use efficient methods to increase customer satisfaction and reduce costs. Cross docking is a good method to reduce the warehouse space requirements, inventory management costs, and turnaround times for customer orders. This paper proposes a novel dynamic genetic algorithm-based method for scheduling vehicles in cross docking systems such that the total operation time is minimized. In this paper, it is assumed that a temporary storage is placed at the shipping dock and inbound vehicles are allowed to repeatedly enter and leave the dock to unload their products. In the proposed method of this paper two different kinds of chromosome for inbound and outbound trucks are proposed. In addition, some algorithms are proposed including initialization, operational time calculation, crossover and mutation for inbound and outbound trucks, independently. Moreover a dynamic approach is proposed for performing crossover and mutation operation in genetic algorithm. In order to evaluate the performance of the proposed algorithm of this paper, various examples are provided and analyzed. The computational results reveal that the proposed algorithm of this paper performs better than two well-known works of literature in providing solutions with shorter operation time. © 2015 Elsevier Ltd. All rights reserved.",Article,,Scopus,2-s2.0-84943606270
"Rakshit P., Konar A., Nagar A.K.","Type-2 fuzzy induced non-dominated sorting bee colony for noisy optimization",2015,"2015 IEEE Congress on Evolutionary Computation, CEC 2015 - Proceedings",,, 7257114,"1869","1876",,2,10.1109/CEC.2015.7257114,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963632246&doi=10.1109%2fCEC.2015.7257114&partnerID=40&md5=59e431eb6bb1e30dfa74026a0096815e","A novel multi-objective optimization algorithm is introduced in the paper to proficiently obtain Pareto-optimal solutions in the noisy fitness landscapes. First, a non-linear functional relationship between the fitness variance in the local neighborhood of a trial solution and the sample size for its periodic fitness evaluation is proposed. The second strategy is concerned with determining defuzzified centroidal value of the noisy fitness samples, instead of their conventional averaging, as the effective fitness measure of the trial solutions. Finally, to ensure the diversity of quality solutions in the noisy fitness landscapes, a new selection criterion induced by the crowding distance measure and the distribution pattern of noisy fitness samples is formulated. Experiments undertaken to validate the performance of the extended algorithm affirm its superiority to its contenders with respect to hyper volume ratio, when examined on a test suite of 23 standard benchmarks contaminated with additive noise of five statistical distributions. © 2015 IEEE.",Conference Paper,,Scopus,2-s2.0-84963632246
"Yang S., Sato Y.","Paralleled Fitness Predator Optimizer with modified dynamic virtual team for multimodal problems",2015,"2015 IEEE Congress on Evolutionary Computation, CEC 2015 - Proceedings",,, 7257072,"1551","1558",,,10.1109/CEC.2015.7257072,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963544854&doi=10.1109%2fCEC.2015.7257072&partnerID=40&md5=5977473b8d821502a0b9150e85cc1623","To avoid premature convergence by maintaining diversity in the population, a new algorithm, Fitness Predator Optimizer (FPO), is proposed based on the concepts of predators. However, the slow convergence speed in the early iteration becomes the bottleneck to restrict the improvement of the FPO. In this paper, a modified dynamic virtual team for Fitness Predator Optimizer is proposed with the aim of accelerating the early convergence rate and improving the global searching capability for multimodal problems. The virtual dynamic team is a self-organization team that according to the nearest neighbour clustering. Each individual automatically is denoted as the team leader. The main function of the team leader is to obtain the neighbour team's best experience. It is worth noting that one of a team members may belong to another group concurrently. The expansion of individual best experience and the team best experience is carried out by this kind of multiple memberships. Consequently a paralleled exchanging information system is built on the modified dynamic virtual team to strengthen on the global searching capability during the early convergence process. Then an improved Dynamic Fitness Predator Optimizer (DFPO) with the modified virtual team is proposed in this paper. We extensively evaluated the DFPO and compared it with FPO, Dolphin Partner Optimization (DPO) and Standard Particle Swarm Optimization (SPSO), with respect to both running time and global solution capability. Experimental results show that the proposed DFPO could demonstrate the desirable performance for multimodal problems. © 2015 IEEE.",Conference Paper,,Scopus,2-s2.0-84963544854
"Lissovoi A., Witt C.","On the utility of island models in dynamic optimization",2015,"GECCO 2015 - Proceedings of the 2015 Genetic and Evolutionary Computation Conference",,,,"1447","1454",,3,10.1145/2739480.2754734,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963679845&doi=10.1145%2f2739480.2754734&partnerID=40&md5=1033bd997f4a8c76f54a28fcccdf0654","A simple island model with A islands and migration occurring after every r iterations is studied on the dynamic fitness function Maze. This model is equivalent to a (1+A) EA if τ = 1, i.e., migration occurs during every iteration. It is proved that even for an increased offspring population size up to A = O(n1-∈), the (1+A) EA is still not able to track the optimum of Maze. If the migration interval is increased, the algorithm is able to track the optimum even for logarithmic A. Finally, the relationship of τ, Λ, and the ability of the island model to track the optimum is investigated more closely. © 2015 Copyright held by the owner/author(s).",Conference Paper,,Scopus,2-s2.0-84963679845
"Friedrich T., Kötzing T., Krejca M.S., Sutton A.M.","Robustness of ant colony optimization to noise",2015,"GECCO 2015 - Proceedings of the 2015 Genetic and Evolutionary Computation Conference",,,,"17","24",,6,10.1145/2739480.2754723,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963657378&doi=10.1145%2f2739480.2754723&partnerID=40&md5=48690649eb00d7affbd75e70032b55c1","Recently Ant Colony Optimization (ACO) algorithms have been proven to be efficient in uncertain environments, such as noisy or dynamically changing fitness functions. Most of these analyses focus on combinatorial problems, such as path finding. We analyze an ACO algorithm in a setting where we try to optimize the simple OneMax test function, but with additive posterior noise sampled from a Gaussian distribution. Without noise the classical (μ + 1)-EA outperforms any ACO algorithm, with smaller μ being better; however, with large noise, the (μ + 1)-EA fails, even for high values of μ (which are known to help against small noise). In this paper we show that ACO is able to deal with arbitrarily large noise in a graceful manner, that is, as long as the evaporation factor ρ is small enough dependent on the parameter σ2 of the noise and the dimension n of the search space (ρ = o(1/(n(n+ σ log n)2 logn))), optimization will be successful. © 2015 Copyright held by the owner/author(s). Publication rights licensed to ACM.",Conference Paper,,Scopus,2-s2.0-84963657378
"Rakshit P., Konar A.","Differential evolution for noisy multiobjective optimization",2015,"Artificial Intelligence","227",, 2859,"165","189",,6,10.1016/j.artint.2015.06.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933515987&doi=10.1016%2fj.artint.2015.06.004&partnerID=40&md5=0f292482d57d3d1da076e19a2d2c656d","Abstract We propose an extension of multiobjective optimization realized with the differential evolution algorithm to handle the effect of noise in objective functions. The proposed extension offers three merits with respect to its traditional counterpart. First, an adaptive selection of the sample size for the periodic fitness evaluation of a trial solution based on the fitness variance in its local neighborhood is proposed. This avoids the computational complexity associated with the unnecessary reevaluation of quality solutions without disregarding the necessary evaluations for relatively poor solutions to ensure accuracy in fitness estimates. The second strategy is concerned with determining the expected value of the noisy fitness samples on the basis of their distribution, instead of their conventional averaging, as the fitness measure of the trial solutions. Finally, a new crowding-distance-induced probabilistic selection criterion is devised to promote quality solutions from the same rank candidate pool to the next generation, ensuring the population quality and diversity in the objective spaces. Computer simulations performed on a noisy version of a well-known set of 23 benchmark functions reveal that the proposed algorithm outperforms its competitors with respect to inverted generational distance, spacing, error ratio, and hypervolume ratio metrics. © 2015 Elsevier B.V.",Article,,Scopus,2-s2.0-84933515987
"Dang D.-C., Lehre P.K.","Efficient optimisation of noisy fitness functions with population-based evolutionary algorithms",2015,"FOGA 2015 - Proceedings of the 2015 ACM Conference on Foundations of Genetic Algorithms XIII",,,,"62","68",,5,10.1145/2725494.2725508,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960349642&doi=10.1145%2f2725494.2725508&partnerID=40&md5=001a1d0f484a5fa68a4579b951f5e608","Population-based EAs can optimise pseudo-Boolean functions in expected polynomial time, even when only partial information about the problem is available. In this paper, we show that the approach used to analyse optimisation with partial information extends naturally to optimisation under noise. We consider pseudo-Boolean problems with an additive noise term. Very general conditions on the noise term is derived, under which the EA optimises the noisy function in expected polynomial time. In the case of the OneMax and LeadingOnes problems, effcient optimisation is even possible when the variance of the noise distribution grows quickly with the problem size. © Copyright 2015 ACM.",Conference Paper,,Scopus,2-s2.0-84960349642
[No author name available],"FOGA 2015 - Proceedings of the 2015 ACM Conference on Foundations of Genetic Algorithms XIII",2015,"FOGA 2015 - Proceedings of the 2015 ACM Conference on Foundations of Genetic Algorithms XIII",,,,"","",196,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960371648&partnerID=40&md5=4e5e352192003ceb8adc2cd69ec053dc","The proceedings contain 16 papers. The topics discussed include: black-box complexity of parallel search with distributed populations; on the black-box complexity of example functions: the real jump function; insights from adversarial fitness functions; fixed budget performance of the (1+1) ea on linear functions; efficient optimization of noisy fitness functions with population-based evolutionary algorithms; run-time analysis of population-based evolutionary algorithm in noisy environments; evolution strategies with additive noise: a convergence rate lower bound; understanding simple asynchronous evolutionary algorithms; parallel evolutionary algorithms performing pairwise comparisons; self-adapting the Brownian radius in a differential evolution algorithm for dynamic environments; and a more efficient rank-one covariance matrix update for evolution strategies.",Conference Review,,Scopus,2-s2.0-84960371648
"Kötzing T., Lissovoi A., Witt C.","(1+1) EA on generalized dynamic OneMax",2015,"FOGA 2015 - Proceedings of the 2015 ACM Conference on Foundations of Genetic Algorithms XIII",,,,"40","51",,13,10.1145/2725494.2725502,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950269416&doi=10.1145%2f2725494.2725502&partnerID=40&md5=a74640956f9e146b7613a964ed4f775b","Evolutionary algorithms (EAs) perform well in settings involving uncertainty, including settings with stochastic or dynamic fitness functions. In this paper, we analyze the (1+1) EA on dynamically changing OneMax, as introduced by Droste (2003). We re-prove the known results on first hitting times using the modern tool of drift analysis. We extend these results to search spaces which allow for more than two values per dimension. Furthermore, we make an anytime analysis as suggested by Jansen and Zarges (2014), analyzing how closely the (1+1) EA can track the dynamically moving optimum over time. We get tight bounds both for the case of bit strings, as well as for the case of more than two values per position. Surprisingly, in the latter setting, the expected quality of the search point maintained by the (1+1) EA does not depend on the number of values per dimension.",Conference Paper,,Scopus,2-s2.0-84950269416
"Friedrich T., Kötzing T., Krejca M.S., Sutton A.M.","The benefit of recombination in noisy evolutionary search",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9472",,,"140","150",,10,10.1007/978-3-662-48971-0_13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952001287&doi=10.1007%2f978-3-662-48971-0_13&partnerID=40&md5=2c19eed43a75b281fcc2f1457e59c456","Practical optimization problems frequently include uncertainty about the quality measure, for example due to noisy evaluations. Thus, they do not allow for a straightforward application of traditional optimization techniques. In these settings meta-heuristics are a popular choice for deriving good optimization algorithms, most notably evolutionary algorithms which mimic evolution in nature. Empirical evidence suggests that genetic recombination is useful in uncertain environments because it can stabilize a noisy fitness signal. With this paper we want to support this claim with mathematical rigor. The setting we consider is that of noisy optimization. We study a simple noisy fitness function that is derived by adding Gaussian noise to a monotone function. First, we show that a classical evolutionary algorithm that does not employ sexual recombination (the (μ+1)-EA) cannot handle the noise efficiently, regardless of the population size. Then we show that an evolutionary algorithm which does employ sexual recombination (the Compact Genetic Algorithm, short: cGA) can handle the noise using a graceful scaling of the population. © Springer-Verlag Berlin Heidelberg 2015.",Conference Paper,,Scopus,2-s2.0-84952001287
"Merelo J.J., Liberatore F., Ares A.F., García R., Chelly Z., Cotta C., Rico N., Mora A.M., García-Sánchez P.","There is noisy lunch: A study of noise in evolutionary optimization problems",2015,"IJCCI 2015 - Proceedings of the 7th International Joint Conference on Computational Intelligence","1",,,"261","268",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961121623&partnerID=40&md5=aafde47867256c28206d366e8fc69745","Noise or uncertainty appear in many optimization processes when there is not a single measure of optimality or fitness but a random variable representing it. These kind of problems have been known for a long time, but there has been no investigation of the statistical distribution those random variables follow, assuming in most cases that it is distributed normally and, thus, it can be modelled via an additive or multiplicative noise on top of a non-noisy fitness. In this paper we will look at several uncertain optimization problems that have been addressed by means of Evolutionary Algorithms and prove that there is no single statistical model the evaluations of the fitness functions follow, being different not only from one problem to the next, but in different phases of the optimization in a single problem. Copyright © 2015 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.",Conference Paper,,Scopus,2-s2.0-84961121623
"Tsai C.-F.","Dynamic grey platform for efficient forecasting management",2015,"Journal of Computer and System Sciences","81","6", 2855,"966","980",,4,10.1016/j.jcss.2014.12.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928288045&doi=10.1016%2fj.jcss.2014.12.011&partnerID=40&md5=7e5476b9ad49fc9e1a16287171da9bb3","Abstract In this paper, we propose a dynamic grey platform to modify the traditional algorithms by applying two new prediction algorithms for forecasting management. The proposed platform integrates a grey model (GM) with an exponentially weighted moving average EWMA controller known as the EGM model. The EGM model attempts to improve the forecast accuracy and efficiency. The prediction error of the EGM model is minimized by applying a dynamic genetic algorithm (DGA). The contributions of the DGA are essentially from its two features: (1) the crossover and mutation rate controller of GA parameter optimization; and (2) the variable controller of EGM background value optimization. Six benchmarking data sets have been used in simulation to evaluate the effectiveness of our proposed model. The experimental results reveal that the better prediction accuracy reduces the cost of Taiwan's green gross domestic product (GDP). © 2014 Elsevier Inc. All rights reserved.",Article,,Scopus,2-s2.0-84928288045
"Klyne A., Merrick K.","Task allocation using particle swarm optimisation and anomaly detection to generate a dynamic fitness function",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9457",,,"317","329",,1,10.1007/978-3-319-26350-2_28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952683966&doi=10.1007%2f978-3-319-26350-2_28&partnerID=40&md5=7e24fa339c3965fa382900a771f0a4fa","In task allocation a group of agents perform search and discovery of tasks, then allocate themselves to complete those tasks. Tasks are assumed to have a strong signature by which they can be identified. This paper considers task allocation in environments where the definition of a task is weak and can change over time. Specifically, we define tasks as environmental anomalies and present a new optimisation-based task allocation algorithm using anomaly detection to generate a dynamic fitness function. We present experiments in a simulated environment to show that agents using this algorithm can generate a dynamic fitness function using anomaly detection. They can then converge on optima in this function using particle swarm optimisation. The demonstration is conducted in a workplace hazard identification simulation. © Springer International Publishing Switzerland 2015.",Conference Paper,,Scopus,2-s2.0-84952683966
"Rakshit P., Konar A.","Extending multi-objective differential evolution for optimization in presence of noise",2015,"Information Sciences","305",,,"56","76",,11,10.1016/j.ins.2015.02.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924359569&doi=10.1016%2fj.ins.2015.02.008&partnerID=40&md5=f1f457d29748b41790c436e5c513c6a5","The paper aims at designing new strategies to extend the selection step of traditional Differential Evolution for Multi-objective Optimization algorithm to proficiently obtain Pareto-optimal solutions in presence of noise. The first strategy, referred to as adaptive selection of sample size, is employed to balance the trade-off between accurate fitness estimate and computational complexity. The second strategy is concerned with determining defuzzified centroid value of the noisy fitness samples, instead of their conventional averaging, as the fitness measure of the trial solutions. The third extension is concerned with the introduction of a probabilistic Pareto ranking strategy to tarnish the detrimental effect of noise incurred in deterministic selection of traditional algorithms. The fourth strategy attempts to extend Goldberg's approach to examine possible placement of a slightly inferior solution in the optimal Pareto front using a more statistically viable comparator. Finally, to ensure the diversity in distribution of quality solutions in the noisy fitness landscapes, a new selection criterion induced by the crowding distance measure and the probability of dominance is formulated. Experiments undertaken to study the performance of the extended algorithm reveal that the extended algorithm outperforms its competitors with respect to four performance metrics, when examined on a test-suite of 23 standard benchmarks with additive noise of three statistical distributions. © 2015 Elsevier Inc.",Article,,Scopus,2-s2.0-84924359569
"Fernández-Ares A., García-Sánchez P., Mora A.M., Castillo P.A., Merelo J.J., Arenas M.G., Romero G.","An overview on the termination conditions in the evolution of game bots",2015,"CEUR Workshop Proceedings","1394","January",,"186","191",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937680096&partnerID=40&md5=59f5049d3b9cd62572ceff08bcc973e8","Evolutionary Algorithms (EAs) are frequently used as a mechanism for the optimization of autonomous agents in games (bots), but knowing when to stop the evolution, when the bots are good enough, is not as easy as it would a priori seem. The first issue is that optimal bots are either unknown (and thus unusable as termination condition) or unreachable. In most EAs trying to find optimal bots fitness is evaluated through game playing. Many times it is found to be noisy, making its use as a termination condition also complicated. This paper summarizes our previous published work where we tested several termination conditions in order to find the one that yields optimal solutions within a restricted amount of time, to allow researchers to compare different EAs as fairly as possible. To achieve this, we examined several ways of finishing an EA who is finding an optimal bot design process for a particular game, Planet Wars in this case, with the characteristics described above, determining the capabilities of every one of them and, eventually, selecting one for future designs.",Conference Paper,,Scopus,2-s2.0-84937680096
"Fernández-Ares A., García-Sánchez P., Mora A.M., Castillo P.A., Merelo J.J., Arenas M.I.G., Romero G.","It’s time to stop: A comparison of termination conditions in the evolution of game bots",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9028",,,"355","368",,1,10.1007/978-3-319-16549-3_29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925842015&doi=10.1007%2f978-3-319-16549-3_29&partnerID=40&md5=42a65527d7b6fc65925e38614fbd6aca","Evolutionary Algorithms (EAs) are frequently used as a mechanism for the optimization of autonomous agents in games (bots), but knowing when to stop the evolution, when the bots are good enough, is not as easy as it would a priori seem. The first issue is that optimal bots are either unknown (and thus unusable as termination condition) or unreachable. In most EAs trying to find optimal bots fitness is evaluated through game playing. Many times it is found to be noisy, making its use as a termination condition also complicated. A fixed amount of evaluations or, in the case of games, a certain level of victories does not guarantee an optimal result. Thus the main objective of this paper is to test several termination conditions in order to find the one that yields optimal solutions within a restricted amount of time, and that allows researchers to compare different EAs as fairly as possible. To achieve this we will examine several ways of finishing an EA who is finding an optimal bot design process for a particular game, Planet Wars in this case, with the characteristics described above, determining the capabilities of every one of them and, eventually, selecting one for future designs. © Springer International Publishing Switzerland 2015.",Conference Paper,,Scopus,2-s2.0-84925842015
[No author name available],"28th Australasian Joint Conference on Advances in Artificial Intelligence, AI 2015",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9457",,,"1","650",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952673980&partnerID=40&md5=faad74d96f80b968b55ecdb6c35b1b89","The proceedings contain 57 papers. The special focus in this conference is on Advances in Artificial Intelligence. The topics include: Exploiting the beta distribution-based reputation model in recommender system; a heuristic search approach to find contrail avoidance flight routes; temporal conjunctive queries in expressive description logics with transitive roles; scaling up multi-island competitive cooperative coevolution for real parameter global optimisation; an evolutionary algorithm with classifier guided constraint evaluation strategy for computationally expensive optimization problems; a propositional plausible logic; monte carlo analysis of a puzzle game; tracking drift severity in data streams; considerations on epistemic entrenchment, probability mixtures and KL divergence; a distributed multi-agent path planning algorithm; graph-based collaborative filtering using rating nodes; a comparative study on vector similarity methods for offer generation in multi-attribute negotiation; region-growing planar segmentation for robot action planning; a differentially private random decision forest using reliable signal-to-noise ratios; learning from demonstration using GMM, CHMM and DHMM; implementing modal tableaux using sentential decision diagrams; decision making strategy based on time series data of voting behavior; finding within-organisation spatial information on the web; knowledge sharing in coalitions; possibilistic inferences in answer set programming; a dual network for transfer learning with spike train data; stable feature selection with support vector machines; task allocation using particle swarm optimisation and anomaly detection to generate a dynamic fitness function and evolving high fidelity low complexity sheepdog herding simulations using a machine learner fitness function surrogate for human judgement.",Conference Review,,Scopus,2-s2.0-84952673980
"Mirabedini S.N., Iranmanesh H.","A scheduling model for serial jobs on parallel machines with different preventive maintenance (PM)",2014,"International Journal of Advanced Manufacturing Technology","70","9-12",,"1579","1589",,5,10.1007/s00170-013-5348-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896725984&doi=10.1007%2fs00170-013-5348-4&partnerID=40&md5=57559435a711f641b59e35950ecd6fbe","In factories during production, preventive maintenance (PM) scheduling is an important problem in preventing and predicting the failure of machines, and most other critical tasks. In this paper, we present a new method of PM scheduling in two modes for more precise and better machine maintenance, as pieces must be replaced or be repaired. Because of the importance of this problem, we define multi-objective functions including makespan, PM cost, variance tardiness, and variance cost; we also consider multi-parallel series machines that perform multiple jobs on each machine and an aid, the analytic network process, to weight these objectives and their alternatives. PM scheduling is an NP-hard problem, so we use a dynamic genetic algorithm (GA) (the probability of mutation and crossover is changed through the main GA) to solve our algorithm and present another heuristic model (particle swarm optimization) algorithm against which to compare the GA's answer. At the end, a numerical example shows that the presented method is very useful in implementing and maintaining machines and devices. © 2013 Springer-Verlag London.",Article,,Scopus,2-s2.0-84896725984
"Michalak K.","Analysis of dynamic properties of stock market trading experts optimized with an evolutionary algorithm",2014,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8602",,,"264","275",,1,10.1007/978-3-662-45523-4_22,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84915802885&doi=10.1007%2f978-3-662-45523-4_22&partnerID=40&md5=9dc256e46933c844691bf9621c69b6c0","This paper concerns optimization of trading experts that are used for generating investment decisions. A population of trading experts is optimized using a dynamic evolutionary algorithm. In the paper a new method is proposed which allows analyzing and visualizing the behaviour of optimized trading experts over a period of time. The application of this method resulted in an observation that during certain intervals of time the behaviour of the optimized trading experts becomes more stable. © Springer-Verlag Berlin Heidelberg 2014.",Conference Paper,,Scopus,2-s2.0-84915802885
[No author name available],"ECTA 2014 - Proceedings of the International Conference on Evolutionary Computation Theory and Applications",2014,"ECTA 2014 - Proceedings of the International Conference on Evolutionary Computation Theory and Applications",,,,"","",357,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920542604&partnerID=40&md5=4f60f155d7713c2d67ebac8e877a8660","The proceedings contain 43 papers. The topics discussed include: algorithms for a hybrid flexible flowshop problem with sequence-dependent setup times; evolutionary tuning of optimal controllers for complex systems; applications of genetic algorithm on optimal sequence for Parrondo games; learning multi-tree classification models with ant colony optimization; studying and tackling noisy fitness in evolutionary design of game characters; evolutionary optimization of a one-class classification system for faults recognition in smart grids; information granules filtering for inexact sequential pattern mining by evolutionary computation; a shuffled complex evolution based algorithm for examination timetabling - benchmarks and a new problem focusing two epochs; going a step beyond the black and white lists for URL accesses in the enterprise by means of categorical classifiers; and exploring the impact of different classification quality functions in an ACO algorithm for learning neural network structures.",Conference Review,,Scopus,2-s2.0-84920542604
"Zhan Z.-H., Li J.-J., Zhang J.","Adaptive particle swarm optimization with variable relocation for dynamic optimization problems",2014,"Proceedings of the 2014 IEEE Congress on Evolutionary Computation, CEC 2014",,, 6900454,"1565","1570",,4,10.1109/CEC.2014.6900454,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908596930&doi=10.1109%2fCEC.2014.6900454&partnerID=40&md5=f81512e9ffe4b0f337d2376dcfb7cf6f","This paper proposes to solve the dynamic optimization problem (DOP) by using an adaptive particle swarm optimization (APSO) algorithm with an variable relocation strategy (VRS). The VRS based APSO algorithm (APSO/VRS) has the following two advantages when solving DOP. Firstly, by using the APSO optimizing framework, the algorithm benefits from the fast optimization speed due to the adaptive parameter control. More importantly, the adaptive parameter and operator in APSO make the algorithm fast respond to the environment changes of DOP. Secondly, VRS was reported in the literature to help dynamic evolutionary algorithm (DEA) to relocate the individual position in promising region when environment changes. Therefore, the modified VRS used in APSO can collect historical information in the stability stage and use such information to guide the particle variable relocation in the change stage. We evaluated both APSO and APSO/VRS on several dynamic benchmark problems and compared with two state-of-the-art DEAs and DEA that also used the VRS. The results show that both APSO and APSO/VRS can obtain very competitive results on these problems, and APSO/VRS outperforms others on most of the test cases. © 2014 IEEE.",Conference Paper,,Scopus,2-s2.0-84908596930
"Kai Z., Gong Y.-J., Zhang J.","Real-time traffic signal control with dynamic evolutionary computation",2014,"Proceedings - 2014 IIAI 3rd International Conference on Advanced Applied Informatics, IIAI-AAI 2014",,, 6913348,"493","498",,1,10.1109/IIAI-AAI.2014.104,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918574798&doi=10.1109%2fIIAI-AAI.2014.104&partnerID=40&md5=b133d3007c1be7c4d566b18263353136","Nowadays real-time traffic signal control is a crucial issue with potential benefits in the fields of traffic control, environmental pollution, and energy utilization. In the literature, few related studies have been done with dynamic evolutionary algorithms. In this paper, we proposed a strategy using Collaborative Evolutionary-Swarm Optimization (CESO), which is able to track time-varying optimal solutions effectively. We use the simulator of urban mobility (SUMO), a popular traffic simulator to generate traffic flows. A grid traffic network is designed with several scenarios to simulate changes of traffic flows captured by traffic monitors. We test different traffic changes in the network using the proposed strategy and compare its performance with a traditional evolutionary algorithm. Experimental results show that our algorithm can obtain promising configuration of traffic light cycles and reduce the average delay time of all vehicles in various scenarios. © 2014 IEEE.",Conference Paper,,Scopus,2-s2.0-84918574798
"Lissovoi A., Witt C.","MMAS vs. Population-based EA on a family of dynamic fitness functions",2014,"GECCO 2014 - Proceedings of the 2014 Genetic and Evolutionary Computation Conference",,,,"1399","1406",,5,10.1145/2576768.2598301,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905717367&doi=10.1145%2f2576768.2598301&partnerID=40&md5=5f0f617f20163922f7348622133a1ace","We study the behavior of a population-based EA and the Max-Min Ant System (MMAS) on a family of deterministically-changing fitness functions, where, in order to find the global optimum, the algorithms have to find specific local optima within each of a series of phases. In particular, we prove that a (2+1) EA with genotype diversity is able to find the global optimum of the Maze function, previously considered by Kötzing and Molter (PPSN 2012, 113-122), in polynomial time. This is then generalized to a hierarchy result stating that for every μ, a (μ+1) EA with genotype diversity is able to track a Maze function extended over a finite alphabet of μ symbols, whereas population size μ-1 is not sufficient. Furthermore, we show that MMAS does not require additional modifications to track the optimum of the finite-alphabet Maze functions, and, using a novel drift statement to simplify the analysis, reduce the required phase length of the Maze function. © 2014 is held by the owner/author(s).",Conference Paper,,Scopus,2-s2.0-84905717367
