Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Access Type,Source,EID
"Lissovoi A., Witt C.","On the utility of island models in dynamic optimization",2015,"GECCO 2015 - Proceedings of the 2015 Genetic and Evolutionary Computation Conference",,,,"1447","1454",,3,10.1145/2739480.2754734,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963679845&doi=10.1145%2f2739480.2754734&partnerID=40&md5=1033bd997f4a8c76f54a28fcccdf0654","Dynamic problems; Evolutionary algorithms; Island models; Populations; Runtime analysis","Iterative methods; Optimization; Population statistics; Dynamic fitness function; Dynamic optimization; Dynamic problem; Island model; Population sizes; Populations; Run-time analysis; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84963679845
"Friedrich T., Kötzing T., Krejca M.S., Sutton A.M.","Robustness of ant colony optimization to noise",2015,"GECCO 2015 - Proceedings of the 2015 Genetic and Evolutionary Computation Conference",,,,"17","24",,6,10.1145/2739480.2754723,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963657378&doi=10.1145%2f2739480.2754723&partnerID=40&md5=48690649eb00d7affbd75e70032b55c1","Ant colony optimization; Noisy fitness; Run time analysis; Theory","Algorithms; Artificial intelligence; Computation theory; Evolutionary algorithms; Gaussian noise (electronic); Optimization; Ant Colony Optimization algorithms; Combinatorial problem; Fitness functions; Noisy fitness; Run-time analysis; Test functions; Theory; Uncertain environments; Ant colony optimization",Conference Paper,,Scopus,2-s2.0-84963657378
"Rakshit P., Konar A.","Differential evolution for noisy multiobjective optimization",2015,"Artificial Intelligence","227",, 2859,"165","189",,6,10.1016/j.artint.2015.06.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933515987&doi=10.1016%2fj.artint.2015.06.004&partnerID=40&md5=0f292482d57d3d1da076e19a2d2c656d","Differential evolution for multiobjective optimization; Dominance probability; Interquartile range; Noise; Sampling; Skewness","Algorithms; Evolutionary algorithms; Function evaluation; Health; Optimization; Quality control; Sampling; Benchmark functions; Differential Evolution; Differential evolution algorithms; Inter quartile ranges; Local neighborhoods; Noise; Population qualities; Skewness; Multiobjective optimization",Article,,Scopus,2-s2.0-84933515987
[No author name available],"FOGA 2015 - Proceedings of the 2015 ACM Conference on Foundations of Genetic Algorithms XIII",2015,"FOGA 2015 - Proceedings of the 2015 ACM Conference on Foundations of Genetic Algorithms XIII",,,,"","",196,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960371648&partnerID=40&md5=4e5e352192003ceb8adc2cd69ec053dc",,,Conference Review,,Scopus,2-s2.0-84960371648
"Dang D.-C., Lehre P.K.","Efficient optimisation of noisy fitness functions with population-based evolutionary algorithms",2015,"FOGA 2015 - Proceedings of the 2015 ACM Conference on Foundations of Genetic Algorithms XIII",,,,"62","68",,5,10.1145/2725494.2725508,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960349642&doi=10.1145%2f2725494.2725508&partnerID=40&md5=001a1d0f484a5fa68a4579b951f5e608","Noisy optimisation; Non-elitism; Runtime Analysis","Additive noise; Algorithms; Genetic algorithms; Polynomial approximation; Efficient optimisation; Fitness functions; Noise distribution; Non-elitism; Optimisations; Partial information; Pseudo-Boolean function; Run-time analysis; Optimization",Conference Paper,,Scopus,2-s2.0-84960349642
"Kötzing T., Lissovoi A., Witt C.","(1+1) EA on generalized dynamic OneMax",2015,"FOGA 2015 - Proceedings of the 2015 ACM Conference on Foundations of Genetic Algorithms XIII",,,,"40","51",,13,10.1145/2725494.2725502,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950269416&doi=10.1145%2f2725494.2725502&partnerID=40&md5=a74640956f9e146b7613a964ed4f775b","Drift; Dynamic optimization; Evolutionary computation; Theory","Algorithms; Computation theory; Genetic algorithms; Optimization; Stochastic systems; Drift; Drift analysis; Dynamic fitness function; Dynamic optimization; Evolutionary algorithms (EAs); Modern tools; Search spaces; Theory; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84950269416
"Friedrich T., Kötzing T., Krejca M.S., Sutton A.M.","The benefit of recombination in noisy evolutionary search",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9472",,,"140","150",,10,10.1007/978-3-662-48971-0_13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952001287&doi=10.1007%2f978-3-662-48971-0_13&partnerID=40&md5=2c19eed43a75b281fcc2f1457e59c456",,"Algorithms; Gaussian noise (electronic); Genetic algorithms; Optimization; Population statistics; Compact genetic algorithm; Evolutionary search; Genetic recombinations; Optimization algorithms; Optimization problems; Optimization techniques; Sexual recombination; Uncertain environments; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84952001287
"Merelo J.J., Liberatore F., Ares A.F., García R., Chelly Z., Cotta C., Rico N., Mora A.M., García-Sánchez P.","There is noisy lunch: A study of noise in evolutionary optimization problems",2015,"IJCCI 2015 - Proceedings of the 7th International Joint Conference on Computational Intelligence","1",,,"261","268",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961121623&partnerID=40&md5=aafde47867256c28206d366e8fc69745","Evolutionary Optimization; Games; Noise; Noisy Fitness; Uncertainty",,Conference Paper,,Scopus,2-s2.0-84961121623
"Tsai C.-F.","Dynamic grey platform for efficient forecasting management",2015,"Journal of Computer and System Sciences","81","6", 2855,"966","980",,4,10.1016/j.jcss.2014.12.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928288045&doi=10.1016%2fj.jcss.2014.12.011&partnerID=40&md5=7e5476b9ad49fc9e1a16287171da9bb3","Forecasting model; Genetic algorithms; Grey theory","Controllers; Forecasting; Genetic algorithms; Crossover and mutation; Dynamic genetic algorithms; Exponentially weighted moving average; Forecasting modeling; Grey theory; Gross domestic products; Prediction algorithms; Variable controllers; Algorithms",Article,,Scopus,2-s2.0-84928288045
"Klyne A., Merrick K.","Task allocation using particle swarm optimisation and anomaly detection to generate a dynamic fitness function",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9457",,,"317","329",,1,10.1007/978-3-319-26350-2_28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952683966&doi=10.1007%2f978-3-319-26350-2_28&partnerID=40&md5=7e24fa339c3965fa382900a771f0a4fa",,"Artificial intelligence; Health; Particle swarm optimization (PSO); Signal detection; Anomaly detection; Dynamic fitness function; Hazard identification; Optimisations; Particle swarm optimisation; Simulated environment; Task allocation; Task allocation algorithm; Optimization",Conference Paper,,Scopus,2-s2.0-84952683966
"Rakshit P., Konar A.","Extending multi-objective differential evolution for optimization in presence of noise",2015,"Information Sciences","305",,,"56","76",,11,10.1016/j.ins.2015.02.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924359569&doi=10.1016%2fj.ins.2015.02.008&partnerID=40&md5=f1f457d29748b41790c436e5c513c6a5","Differential evolution; Multi-objective optimization; Noise-handling; Stochastic selection; Type-2 fuzzy set","Additive noise; Algorithms; Benchmarking; Economic and social effects; Evolutionary algorithms; Fuzzy sets; Health; Optimization; Pareto principle; Probability distributions; Stochastic systems; Differential Evolution; Multi-objective differential evolutions; Noise handling; Pareto optimal solutions; Performance metrics; Statistical distribution; Stochastic selection; Type-2 fuzzy set; Multiobjective optimization",Article,,Scopus,2-s2.0-84924359569
"Fernández-Ares A., García-Sánchez P., Mora A.M., Castillo P.A., Merelo J.J., Arenas M.I.G., Romero G.","It’s time to stop: A comparison of termination conditions in the evolution of game bots",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9028",,,"355","368",,2,10.1007/978-3-319-16549-3_29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925842015&doi=10.1007%2f978-3-319-16549-3_29&partnerID=40&md5=42a65527d7b6fc65925e38614fbd6aca","Evolutionary algorithms; Noisy fitness; RTS; Termination criteria; Videogames","Algorithms; Autonomous agents; Evolutionary algorithms (EAs); Noisy fitness; Optimal results; Optimal solutions; RTS; Termination condition; Termination criteria; Video game; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84925842015
"Fernández-Ares A., García-Sánchez P., Mora A.M., Castillo P.A., Merelo J.J., Arenas M.G., Romero G.","An overview on the termination conditions in the evolution of game bots",2015,"CEUR Workshop Proceedings","1394","January",,"186","191",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937680096&partnerID=40&md5=59f5049d3b9cd62572ceff08bcc973e8","Evolutionary Algorithms; Noisy fitness; RTS; Termination criteria; Videogames","Algorithms; Autonomous agents; Evolutionary algorithms (EAs); Future designs; Noisy fitness; Optimal solutions; RTS; Termination condition; Termination criteria; Video game; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84937680096
[No author name available],"28th Australasian Joint Conference on Advances in Artificial Intelligence, AI 2015",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9457",,,"1","650",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952673980&partnerID=40&md5=faad74d96f80b968b55ecdb6c35b1b89",,,Conference Review,,Scopus,2-s2.0-84952673980
"Mirabedini S.N., Iranmanesh H.","A scheduling model for serial jobs on parallel machines with different preventive maintenance (PM)",2014,"International Journal of Advanced Manufacturing Technology","70","9-12",,"1579","1589",,5,10.1007/s00170-013-5348-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896725984&doi=10.1007%2fs00170-013-5348-4&partnerID=40&md5=57559435a711f641b59e35950ecd6fbe","Multi-objective genetic algorithm; Preventive maintenance; Reliability; Scheduling","Analytic network process; Dynamic genetic algorithms; Machine maintenance; Multi-objective functions; Multi-objective genetic algorithm; Preventive maintenance (pm); Probability of mutations; Scheduling models; Computational complexity; Genetic algorithms; Particle swarm optimization (PSO); Preventive maintenance; Probabilistic logics; Reliability; Scheduling algorithms; Scheduling",Article,,Scopus,2-s2.0-84896725984
"Michalak K.","Analysis of dynamic properties of stock market trading experts optimized with an evolutionary algorithm",2014,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8602",,,"264","275",,1,10.1007/978-3-662-45523-4_22,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84915802885&doi=10.1007%2f978-3-662-45523-4_22&partnerID=40&md5=9dc256e46933c844691bf9621c69b6c0","Dynamic optimization; Trading expert optimization; Trading expert stability; Trading rules; Usage patterns","Commerce; Investments; Dynamic optimization; Dynamic property; Investment decisions; Stock market; Trading rules; Usage patterns; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84915802885
[No author name available],"ECTA 2014 - Proceedings of the International Conference on Evolutionary Computation Theory and Applications",2014,"ECTA 2014 - Proceedings of the International Conference on Evolutionary Computation Theory and Applications",,,,"","",357,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920542604&partnerID=40&md5=4f60f155d7713c2d67ebac8e877a8660",,,Conference Review,,Scopus,2-s2.0-84920542604
"Kai Z., Gong Y.-J., Zhang J.","Real-time traffic signal control with dynamic evolutionary computation",2014,"Proceedings - 2014 IIAI 3rd International Conference on Advanced Applied Informatics, IIAI-AAI 2014",,, 6913348,"493","498",,1,10.1109/IIAI-AAI.2014.104,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918574798&doi=10.1109%2fIIAI-AAI.2014.104&partnerID=40&md5=b133d3007c1be7c4d566b18263353136","Collaborative Evolutionary-Swarm Optimization (CESO); Dynamic algorithms; Real-time traffic signal control","Energy utilization; Pollution control; Street traffic control; Vehicle actuated signals; Average delay time; Dynamic algorithm; Environmental pollutions; Optimal solutions; Potential benefits; Real time traffics; Swarm optimization; Traffic simulators; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84918574798
"Zhan Z.-H., Li J.-J., Zhang J.","Adaptive particle swarm optimization with variable relocation for dynamic optimization problems",2014,"Proceedings of the 2014 IEEE Congress on Evolutionary Computation, CEC 2014",,, 6900454,"1565","1570",,4,10.1109/CEC.2014.6900454,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908596930&doi=10.1109%2fCEC.2014.6900454&partnerID=40&md5=f81512e9ffe4b0f337d2376dcfb7cf6f",,"Particle swarm optimization (PSO); Adaptive parameters; Adaptive particle swarm optimizations; Bench-mark problems; Dynamic optimization problem (DOP); Environment change; Fast optimizations; Historical information; Two-state; Parameter estimation",Conference Paper,,Scopus,2-s2.0-84908596930
"Lissovoi A., Witt C.","MMAS vs. Population-based EA on a family of dynamic fitness functions",2014,"GECCO 2014 - Proceedings of the 2014 Genetic and Evolutionary Computation Conference",,,,"1399","1406",,5,10.1145/2576768.2598301,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905717367&doi=10.1145%2f2576768.2598301&partnerID=40&md5=5f0f617f20163922f7348622133a1ace","Ant colony optimization; Dynamic problems; Evolutionary algorithms; Populations; Runtime analysis","Ant colony optimization; Polynomial approximation; Population statistics; Dynamic fitness function; Dynamic problem; Finite alphabet; Fitness functions; Max min ant system(MMAS); Population sizes; Populations; Run-time analysis; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84905717367
"Merelo J.J., Castillo P.A., Mora A., Fernández-Ares A., Esparcia-Alcázar A.I., Cotta C., Rico N.","Studying and tackling noisy fitness in evolutionary design of game characters",2014,"ECTA 2014 - Proceedings of the International Conference on Evolutionary Computation Theory and Applications",,,,"76","85",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908679539&partnerID=40&md5=a272f7424083830ca1292b40f6da3c73","Evolutionary algorithms; Games; Noisy optimization problems; Strategy games","Combinatorial optimization; Computation theory; Computer games; Health; Interactive computer graphics; Optimization; Population statistics; Problem solving; Combinatorial optimization problems; Computation time; Evolutionary design; Games; Incremental computation; Noisy optimization; Selection function; Strategy games; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84908679539
"Chow C.K., Yuen S.Y.","A dynamic history-driven evolutionary algorithm",2014,"Proceedings of the 2014 IEEE Congress on Evolutionary Computation, CEC 2014",,, 6900382,"1558","1564",,2,10.1109/CEC.2014.6900382,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908565148&doi=10.1109%2fCEC.2014.6900382&partnerID=40&md5=49b1b19d1e9cf4f58a6f196edb5bd936",,"Benchmarking; Computer programming; Particle swarm optimization (PSO); Artificial immune algorithms; Differential Evolution; Entire searches; Global optimum; Multi-modal; Search history; Time instances; Trees (mathematics)",Conference Paper,,Scopus,2-s2.0-84908565148
"Nunes D.","Adaptive ontologies through social evolution",2014,"13th International Conference on Autonomous Agents and Multiagent Systems, AAMAS 2014","2",,,"1743","1744",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911420680&partnerID=40&md5=516c3c8d5c991fdbf020005b0ac83314","Distributed artificial intelligence; Ev-lutionary computation; Multi-agent systems; On-line learning; Ontology emergence; Ontology learning; Semantic web",,Conference Paper,,Scopus,2-s2.0-84911420680
"Qian S.-Q., Wu H.-H.","Dynamic stochastic ranking selection immune optimization algorithm for dynamical 0/1 knapsack problem",2013,"Proceedings - 2013 5th International Conference on Intelligent Human-Machine Systems and Cybernetics, IHMSC 2013","1",, 6643843,"100","103",,1,10.1109/IHMSC.2013.31,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891910150&doi=10.1109%2fIHMSC.2013.31&partnerID=40&md5=be27eea3775bdd0a245e6701a7e054ca","Constrained knapsack problem; Dynamic environments; Environments recognition; Immune algorithms; Stochastic ranking selection","Dynamic environments; Environments recognition; Immune algorithms; Knapsack problems; Stochastic ranking; Antibodies; Combinatorial optimization; Cybernetics; Optimization; Repair; Semiconductor storage; Stochastic systems; Algorithms",Conference Paper,,Scopus,2-s2.0-84891910150
"Bacha A.R.A., Gruyer D., Mammar S.","A new robust cooperative-reactive Filter for vehicle localization: The Extended Kalman Particle Swarm 'EKPS'",2013,"IEEE Intelligent Vehicles Symposium, Proceedings",,, 6629470,"195","200",,4,10.1109/IVS.2013.6629470,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892399580&doi=10.1109%2fIVS.2013.6629470&partnerID=40&md5=47b4a8ef2c248a7506dc663a3469506a",,"Adaptive dynamics; Cooperative vehicles; Dynamic environments; Embedded sensors; Localization algorithm; Particle swarm optimization technique; Vehicle localization; Vehicle position; Algorithms; Extended Kalman filters; Intelligent vehicle highway systems; Particle swarm optimization (PSO); Tracking (position)",Conference Paper,,Scopus,2-s2.0-84892399580
"Richter H., Yang S.","Dynamic Optimization Using Analytic and Evolutionary Approaches: A Comparative Review",2013,"Intelligent Systems Reference Library","38",,,"1","28",,3,10.1007/978-3-642-30504-7_1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885439967&doi=10.1007%2f978-3-642-30504-7_1&partnerID=40&md5=0b887cd49b1449fc5db653b4717280fd",,,Review,,Scopus,2-s2.0-84885439967
"Richter H.","Dynamic fitness landscape analysis",2013,"Studies in Computational Intelligence","490",,,"269","297",,5,10.1007/978-3-642-38416-5-11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884214201&doi=10.1007%2f978-3-642-38416-5-11&partnerID=40&md5=87d1ca036d81cdd11400bb9373056f30",,,Article,,Scopus,2-s2.0-84884214201
"Cheng H., Yang S.","Genetic algorithms for dynamic routing problems in mobile ad hoc networks",2013,"Studies in Computational Intelligence","490",,,"343","375",,2,10.1007/978-3-642-38416-5-14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884214398&doi=10.1007%2f978-3-642-38416-5-14&partnerID=40&md5=bbbb3e98fe3e6294bb69c893a1380716",,,Article,,Scopus,2-s2.0-84884214398
"De Giovanni L., Massi G., Pezzella F., Pfetsch M.E., Rinaldi G., Ventura P.","A heuristic and an exact method for the gate matrix connection cost minimization problem",2013,"International Transactions in Operational Research","20","5",,"627","643",,2,10.1111/itor.12025,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881022755&doi=10.1111%2fitor.12025&partnerID=40&md5=f5ca9c10979d797c36892f3c540c432c","Branch-and-cut; Dynamic fitness function; Genetic algorithms; Integer linear programming; Maximum number of open stacks; Pattern sequencing; Time of open stacks","Branch-and-cut; Dynamic fitness function; Integer Linear Programming; Open stacks; Pattern sequencing; Combinatorial optimization; Costs; Genetic algorithms; Heuristic methods; Integer programming; Optimization; Matrix algebra",Article,,Scopus,2-s2.0-84881022755
"Stojanovic N., Riemer D., Xu Y.","Demo: A system for dynamic real-time personal fitness monitoring",2013,"DEBS 2013 - Proceedings of the 7th ACM International Conference on Distributed Event-Based Systems",,,,"341","342",,,10.1145/2488222.2489279,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881171349&doi=10.1145%2f2488222.2489279&partnerID=40&md5=067e8614749e90ecf6a41255fa8fb959","Mobile event processing; Personal monitoring; Wearable sensors","Contextualization; Current performance; Event Processing; Performance indicators; Personal monitoring; Real time monitoring; Server sides; Wearable sensors; Sensors; Software architecture; Health",Conference Paper,,Scopus,2-s2.0-84881171349
"Lu T.-C., Yu G.-R., Juang J.-C.","Quantum-based algorithm for optimizing artificial neural networks",2013,"IEEE Transactions on Neural Networks and Learning Systems","24","8", 6507335,"1266","1278",,17,10.1109/TNNLS.2013.2249089,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880899852&doi=10.1109%2fTNNLS.2013.2249089&partnerID=40&md5=99638866e0767f37817b9a8e12744144","Classification problem; mapping problem; quantum neural network (QNN)","Bench-mark problems; Classification performance; Evolving artificial neural networks; Generalization ability; Mapping problem; Network structures; Noisy fitness evaluation; Quantum neural networks; Neural networks; Optimization; Quantum computers; Algorithms; algorithm; artificial neural network; breast tumor; computer simulation; diabetes mellitus; heart; human; iris; probability; quality control; Algorithms; Benchmarking; Breast Neoplasms; Computer Simulation; Diabetes Mellitus; Heart; Humans; Iris; Neural Networks (Computer); Probability",Article,,Scopus,2-s2.0-84880899852
"Halder U., Das S., Maity D.","A cluster-based differential evolution algorithm with external archive for optimization in dynamic environments",2013,"IEEE Transactions on Cybernetics","43","3",,"881","897",,46,10.1109/TSMCB.2012.2217491,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890441738&doi=10.1109%2fTSMCB.2012.2217491&partnerID=40&md5=a42ba790b0f86100bd021e0c5d37b2d7","Clustering; Differential evolution (DE); Dynamic optimization problems; Evolutionary algorithms (EAs); Self-adaptation","Clustering; Differential Evolution; Dynamic optimization problem (DOP); Evolutionary algorithms (EAs); Self adaptation; Benchmarking; Global optimization; Optimization; Evolutionary algorithms; animal; article; biological model; cluster analysis; computer simulation; ecosystem; evolution; genetics; human; mutation; population genetics; statistical model; genetics; mutation; Animals; Biological Evolution; Cluster Analysis; Computer Simulation; Ecosystem; Genetics, Population; Humans; Models, Genetic; Models, Statistical; Mutation; Animals; Biological Evolution; Cluster Analysis; Computer Simulation; Ecosystem; Genetics, Population; Humans; Models, Genetic; Models, Statistical; Mutation",Article,,Scopus,2-s2.0-84890441738
"Liu C., Han M.","Dynamic evolutionary membrane algorithm in dynamic environments",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7832 LNCS",,,"145","156",,,10.1007/978-3-642-37198-1_13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875102417&doi=10.1007%2f978-3-642-37198-1_13&partnerID=40&md5=719be611c456cf41e13c589d50e6c8cd","diversity; dynamic evolutionary membrane algorithm; dynamic optimization problem; membrane computing","diversity; Diversity of solutions; Dynamic environments; Dynamic optimization problem (DOP); Evolutionary rules; Membrane computing; Moving peaks benchmarks; Partitioning strategies; Benchmarking; Bioinformatics; Combinatorial optimization; Problem solving; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84875102417
"Cheng H., Yang S., Cao J.","Dynamic genetic algorithms for the dynamic load balanced clustering problem in mobile ad hoc networks",2013,"Expert Systems with Applications","40","4",,"1381","1392",,41,10.1016/j.eswa.2012.08.050,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870255868&doi=10.1016%2fj.eswa.2012.08.050&partnerID=40&md5=a7aec5263619e4fb7b659cd2f466c6a4","Dynamic genetic algorithm; Dynamic load balanced clustering problem (DLBCP); Dynamic optimization problem (DOP); Mobile ad hoc network (MANET)","Cluster head; Cluster structure; Clustering problems; Dynamic genetic algorithms; Dynamic network; Dynamic optimization problem (DOP); Handling technique; Load balance; Load-balanced; Network topology; Node movement; Routing table; Topology information; Clustering algorithms; Dynamic loads; Dynamics; Electric network topology; Energy utilization; Genetic algorithms; Telecommunication networks; Topology; Mobile ad hoc networks",Article,,Scopus,2-s2.0-84870255868
"Xiang L.-S., Qi F., Liu X.-Y.","A new optimization method for neural tree network model",2013,"Kongzhi yu Juece/Control and Decision","28","1",,"73","77+83",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874452363&partnerID=40&md5=d1b31678576796376102c0ae9cc2034c","Exponential mutation; Fitness evaluation; Improved breeder genetic programming algorithm; Neural tree network model; Time series","Better performance; Evolution of structures; Exponential mutation; Fitness evaluations; Improved breeder genetic programming; Neural tree models; Neural tree network models; Noisy fitness evaluation; Nonlinear problems; Optimization method; Optimization strategy; Parameter optimization; Potential methods; Structure optimization; Time series prediction; Forestry; Genetic algorithms; Genetic programming; Structural optimization; Time series; Trees (mathematics); Neural networks; Algorithms; Computer Programing; Mathematical Models; Neural Networks; Optimization; Time Series Analysis",Article,,Scopus,2-s2.0-84874452363
"Kamyab S., Eftekhari M., Anaraki J.R.","A novel rough set based dissimilarity measure and its application in multimodal optimization",2012,"AISP 2012 - 16th CSI International Symposium on Artificial Intelligence and Signal Processing",,, 6313740,"180","185",,1,10.1109/AISP.2012.6313740,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869160162&doi=10.1109%2fAISP.2012.6313740&partnerID=40&md5=814526f1e2d7cdac4a296a09ac7cbf03","Binary Multimodal Optimization; Dependency Degree; Dynamic Fitness Sharing; Rough Set Theory","Benchmark functions; Data tables; Dependency degree; Discrete data; Dissimilarity measures; Fitness sharing; Mathematical tools; Multi-modal; Multi-modal optimization; Niching methods; Proximity measure; Rough-set based; Artificial intelligence; Hamming distance; Optimization; Signal processing; Uncertainty analysis; Rough set theory",Conference Paper,,Scopus,2-s2.0-84869160162
"Krčah P.","Effects of speciation on evolution of neural networks in highly dynamic environments",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7219 LNCS",,,"425","430",,,10.1007/978-3-642-34413-8_39,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867878642&doi=10.1007%2f978-3-642-34413-8_39&partnerID=40&md5=a3d67a26ca2ac8369ae63af0805d07a1","dynamic optimization; NEAT; neural networks; speciation","Dynamic environments; Dynamic fitness function; Dynamic optimization; Dynamic optimization problem (DOP); Evolving neural network; Fitness functions; Historical performance; Investigate effects; NEAT; Neuroevolution of augmenting topologies; New solutions; speciation; Electric network topology; Genetic algorithms; Neural networks; Optimization; Problem solving",Conference Paper,,Scopus,2-s2.0-84867878642
"Kötzing T., Molter H.","ACO beats EA on a dynamic pseudo-boolean function",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7491 LNCS","PART 1",,"113","122",,19,10.1007/978-3-642-32937-1_12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866356355&doi=10.1007%2f978-3-642-32937-1_12&partnerID=40&md5=5a225b0aeaa32d263baa3444b71c3f22",,"Ant Colony Optimization (ACO); Bio-inspired algorithms; Bit-strings; Fitness functions; Optimization problems; Prior knowledge; Pseudo-Boolean function; Artificial intelligence; Boolean functions; Health; Algorithms",Conference Paper,,Scopus,2-s2.0-84866356355
"Mora A.M., Fernández-Ares A., Merelo J.J., García-Sánchez P., Fernandes C.M.","Effect of noisy fitness in real-time strategy games player behaviour optimisation using evolutionary algorithms",2012,"Journal of Computer Science and Technology","27","5",,"1007","1023",,26,10.1007/s11390-012-1281-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870951132&doi=10.1007%2fs11390-012-1281-5&partnerID=40&md5=39923e208a98c67ceda82cb6ef89f113","Genetic algorithm; Noisy fitness; Parameter adaptation; Player behaviour optimisation; Real-time strategy game","Candidate solution; Decision engines; Empirical studies; Environmental interactions; Fitness functions; Multiple targets; Noisy fitness; Optimisations; Parameter adaptation; Real-time strategy games; Set of rules; Sparring Partners; Artificial intelligence; Genetic algorithms; Health; Optimization; Real time systems; Behavioral research",Article,,Scopus,2-s2.0-84870951132
"Moreno M., GutiÉrrez P.A., HervÁs-MartÍnez C.","A structural distance-based crossover for neural network classifiers",2012,"International Journal of Pattern Recognition and Artificial Intelligence","26","6", 1250012,"","",,,10.1142/S0218001412500127,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871429625&doi=10.1142%2fS0218001412500127&partnerID=40&md5=cf81ff6ae6ede3a08c88843b2491dc37","Artificial neural networks; crossover; evolutionary algorithms; memetic algorithms; multiclass classification; niching techniques; product units","crossover; Memetic algorithms; Multi-class classification; Niching techniques; Product-unit; Evolutionary algorithms; Neural networks",Article,,Scopus,2-s2.0-84871429625
